Date,Open,High,Low,Close,Volume,Change
10-May-23,"41,295.32","41,407.09","41,041.32","41,074.95","52,986,168",-298.86
09-May-23,"41,829.80","41,830.35","41,277.73","41,373.81","104,478,880",-455.68
08-May-23,"42,317.71","42,389.22","41,767.45","41,829.49","68,420,800",-412.49
05-May-23,"42,108.47","42,323.29","41,962.90","42,241.98","99,722,728",148.18
04-May-23,"42,151.42","42,336.44","42,055.90","42,093.80","147,302,240",5.87
03-May-23,"42,064.87","42,171.68","41,915.81","42,087.93","135,507,616",160.29
02-May-23,"41,665.05","41,990.15","41,580.85","41,927.64","85,374,480",346.79
28-Apr-23,"41,524.43","41,790.68","41,463.91","41,580.85","125,893,688",116.94
27-Apr-23,"41,204.63","41,518.74","41,081.07","41,463.91","92,233,024",364.33
26-Apr-23,"41,165.75","41,363.89","41,007.82","41,099.58","82,164,584",91.76
20-Apr-23,"40,672.36","41,086.67","40,499.34","41,007.82","72,293,392",508.48
19-Apr-23,"40,367.66","40,532.76","40,289.95","40,499.34","35,073,736",51.29
18-Apr-23,"40,289.32","40,484.29","40,221.08","40,448.05","34,242,660",201.39
17-Apr-23,"40,297.68","40,372.80","40,182.37","40,246.66","46,837,396",41.12
13-Apr-23,"40,283.25","40,418.60","40,126.05","40,205.54","45,504,524",79.49
12-Apr-23,"39,810.60","40,172.76","39,803.95","40,126.05","46,676,984",321.34
11-Apr-23,"39,871.78","39,919.99","39,723.01","39,804.71","32,152,410",-31.19
10-Apr-23,"40,066.60","40,183.81","39,815.86","39,835.90","34,288,836",-213.75
07-Apr-23,"40,435.96","40,549.86","40,005.04","40,049.65","47,629,632",-301.24
06-Apr-23,"39,781.47","40,374.33","39,717.15","40,350.89","77,157,624",633.74
05-Apr-23,"39,763.53","39,910.05","39,664.98","39,717.15","39,530,940",29.89
04-Apr-23,"39,914.90","39,920.35","39,482.17","39,687.26","36,906,284",-202.64
03-Apr-23,"40,039.76","40,077.77","39,860.62","39,889.90","33,130,368",-110.93
31-Mar-23,"39,865.25","40,000.83","39,729.44","40,000.83","68,506,136",152.48
30-Mar-23,"39,882.60","40,005.07","39,796.69","39,848.35","48,704,728",-31.54
29-Mar-23,"40,094.14","40,186.11","39,866.25","39,879.89","43,894,752",-202.48
28-Mar-23,"40,011.92","40,203.84","40,000.37","40,082.37","36,664,740",82
27-Mar-23,"39,941.63","40,066.73","39,845.06","40,000.37","36,310,372",58.32
24-Mar-23,"40,391.36","40,440.70","39,922.89","39,942.05","19,472,168",-434.05
22-Mar-23,"40,891.03","40,996.72","40,352.71","40,376.10","67,321,248",-501.88
21-Mar-23,"40,928.70","40,990.12","40,696.74","40,877.98","63,117,008",-40.47
20-Mar-23,"41,334.86","41,398.03","40,909.24","40,918.45","91,841,776",-411.5
17-Mar-23,"41,717.05","41,808.88","41,270.81","41,329.95","92,767,512",-364.14
16-Mar-23,"41,959.25","42,119.03","41,639.50","41,694.09","114,971,048",-179.95
15-Mar-23,"41,752.10","42,010.06","41,607.05","41,874.04","128,880,472",57.61
14-Mar-23,"41,834.18","41,953.78","41,705.82","41,816.43","69,005,384",-40.42
13-Mar-23,"41,905.95","42,291.77","41,787.35","41,856.85","111,473,160",62.98
10-Mar-23,"41,669.71","41,902.02","41,585.54","41,793.87","101,928,880",208.33
09-Mar-23,"41,424.47","41,648.08","41,358.93","41,585.54","113,544,808",226.61
08-Mar-23,"41,420.55","41,618.66","41,334.69","41,358.93","89,274,553",24.24
07-Mar-23,"41,504.55","41,530.19","41,334.69","41,334.69","87,912,789",-99.64
06-Mar-23,"41,420.52","41,797.71","41,337.00","41,434.33","96,270,181",97.33
03-Mar-23,"40,506.40","41,359.11","40,487.28","41,337.00","110,231,496",666.12
02-Mar-23,"40,382.40","40,852.97","40,353.46","40,670.88","87,577,960",258.11
01-Mar-23,"40,488.30","40,539.87","40,029.72","40,412.77","102,640,640",-97.6
28-Feb-23,"40,784.27","40,810.04","40,436.36","40,510.37","68,679,944",-273.76
27-Feb-23,"40,714.71","40,820.09","40,616.60","40,784.13","80,735,448",76.37
24-Feb-23,"40,853.73","40,978.46","40,682.46","40,707.76","75,936,032",-130.75
23-Feb-23,"41,168.22","41,168.22","40,772.52","40,838.51","94,476,896",-329.09
22-Feb-23,"40,972.09","41,212.95","40,923.03","41,167.60","102,378,745",217.76
21-Feb-23,"40,774.07","40,966.71","40,673.64","40,949.84","55,215,988",276.2
20-Feb-23,"41,152.53","41,162.89","40,623.97","40,673.64","53,982,428",-444.97
17-Feb-23,"41,078.51","41,214.07","40,964.98","41,118.61","65,142,256",39.96
16-Feb-23,"41,405.38","41,619.20","41,024.78","41,078.65","95,530,560",-248.2
15-Feb-23,"41,122.32","41,457.76","40,918.85","41,326.85","90,055,168",176.69
14-Feb-23,"41,780.08","41,848.76","41,047.03","41,150.16","107,252,872",-566.79
13-Feb-23,"41,726.13","41,991.16","41,644.31","41,716.95","110,382,392",-24.83
10-Feb-23,"42,121.65","42,544.47","41,663.22","41,741.78","190,003,616",-724.81
